firm_name,county,city,website,contact_name,contact_email,email_status,practice_areas,notes
Judnich Law Firm Bozeman,Gallatin,Bozeman,https://www.judnichlaw.com/bozeman/,,,needs_research,"DUI, criminal defense",Bozeman office
Jackson Law Office,Gallatin,Bozeman,https://www.kaylejacksonlaw.com/,Kayle Jackson,,needs_research,"Criminal, DUI","Former MT Senate Judiciary Committee staff"
Anjewierden Boland Byler Witt PC,Gallatin,Bozeman,https://www.abwlaw.net/,,,needs_research,"Criminal, DUI, appeals",Jennifer Dwyer; Federal Defenders of MT board
Beebe & Flowers Trial Lawyers,Lewis and Clark,Helena,https://helenalegal.com/,,,needs_research,"Criminal defense, family law","Helena, also serves Jefferson County"
Hull Swingley & Betchie PC,Lewis and Clark,Helena,https://hullmtlaw.com/,,,needs_research,"Criminal defense, appellate","MT Supreme Court + 9th Circuit experience"
Delli Bovi Martin & Reed LLC,Lewis and Clark,Helena,https://dbmrlaw.com/,,,needs_research,"Criminal defense, family law, DUI","40+ years combined experience"
Mathew Johnson Law Office,Lewis and Clark,Helena,https://www.mtlegalcounsel.com/,Mathew Johnson,,needs_research,"Criminal, DUI, family, estates","Former Jefferson County Attorney"
Sage Law LLC,Lewis and Clark,Helena,https://sagelawllc.cliogrow.com/,,,needs_research,"Criminal defense, family law","Solo practitioner, ex-public defender"
Hilderman Law PC,Flathead,Kalispell,https://www.hildermanlaw.com/,Scott Hilderman,,needs_research,"DUI, criminal defense, PI","20+ years, former trial advocate certification"
Glacier Law Firm,Flathead,Kalispell,https://glacierlawfirm.com/,,,needs_research,"Criminal defense, drug, DUI",
406 Legal,Flathead,Kalispell,https://www.406legal.com/,Alex Neill,,needs_research,"DUI, criminal defense, family","Former Flathead County prosecutor"
Hinchey & Hinchey PC,Flathead,Kalispell,https://www.hincheyandhinchey.com/,,,needs_research,"Criminal defense, PI","Gonzaga-educated husband-wife team"
Maldonado Law Kalispell,Flathead,Kalispell,https://bigskydefender.com/service-areas/kalispell/,,,needs_research,"Criminal defense, DUI, expungement",Western MT office
Carlson Law,Cascade,Great Falls,https://www.carlsonlaw406.com/,Trevor Carlson,,needs_research,"Criminal defense, divorce, PI",
Joel M Thompson,Cascade,Great Falls,https://www.joelmthompson.com/,Joel M. Thompson,,needs_research,Criminal defense,"Former Asst AG, 26 years"
Flaherty Gallardo Lawyers,Cascade,Great Falls,https://www.greatfallsfirm.com/,Patrick Flaherty,,needs_research,"Criminal defense, civil litigation","30+ years"
Sutton Law PLLC,Cascade,Great Falls,https://suttonlawmt.com/,Meghan Lulf Sutton,,needs_research,"Criminal defense, family, PI","Former Cascade County Public Defender"
Carl B Jensen Jr PLLC,Cascade,Great Falls,https://www.carlbjensenjr.com/,Carl B. Jensen Jr.,,,needs_research,"Criminal defense, military law",
Big Sky Justice PC,Cascade,Great Falls,https://www.bigskyjustice.com/,James Gardner,,needs_research,"Criminal defense, family law","Since 2006"
Hoines Law Office,Cascade,Great Falls,https://www.nathanhoineslaw.com/,Nathan Hoines,,needs_research,"Criminal defense, civil litigation","30+ years, NACDL member"
Albers Law,Cascade,Great Falls,https://montanajailroster.com/attorneys/cascade-criminal-attorney/,Scott Albers,,needs_research,Criminal defense,"Helena office address"
Maldonado Law Butte,Silver Bow,Butte,https://bigskydefender.com/service-areas/butte/criminal-defense/,,,needs_research,"Criminal defense, DUI, federal",Western MT office
Vicevich Law,Silver Bow,Butte,https://www.vicevichlaw.com/,David Vicevich,,needs_research,"Criminal, appellate, tax, PI","NACDL member"
Jennifer Bordy Law,Silver Bow,Butte,https://www.jenniferbordylaw.com/,Jennifer Wendt Bordy,,needs_research,Criminal and civil litigation,
Maldonado Law Hamilton,Ravalli,Hamilton,https://bigskydefender.com/service-areas/hamilton/criminal-defense/,,,needs_research,"Criminal defense, DUI, federal",Bitterroot Valley
Stevenson Law Office Ravalli,Ravalli,Hamilton,https://bigskylegal.com/ravalli-county/,,,needs_research,Criminal defense,Ravalli County practice
Stenerson Law Office PC,Ravalli,Hamilton,https://lawyers.lawyerlegion.com/montana/david-e-stenerson-41000079,David E. Stenerson,,needs_research,Criminal defense,"100% criminal"
Bitterroot Law,Ravalli,Hamilton,https://www.bitterrootlaw.com/,Tom Schoenleban,,needs_research,"Criminal defense, DUI","Former Deputy Public Defender"
Crist & Schroeder PLLC,Park,Livingston,https://www.cristschroeder.com/,,,needs_research,"Criminal defense, juvenile, Yellowstone NP","Park + Gallatin"
Maldonado Law Polson,Lake,Polson,https://bigskydefender.com/service-areas/polson/,,,needs_research,"Criminal, DUI, civil",Lake County
Morigeau Law,Lake,Polson,https://polsonmtlaw.com/,Joshua Morigeau,josh@polsonmtlaw.com,found_via_website,"Criminal, civil",Solo practitioner
Kalmbach Law Office,Lake,Polson,http://www.polsonlegal.com/,Justin Kalmbach,,needs_research,"Criminal, family, DUI, estate",Solo
Cotter Law Office PC,Lake,Polson,https://cotterlawofficepc.com/,Britt Cotter,britt@cotterlawofficepc.com,found_via_website,Criminal defense,20 years experience
